id,name,symbol,slug,num_market_pairs,date_added,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote/USD/price,quote/USD/volume_24h,quote/USD/volume_change_24h,quote/USD/percent_change_1h,quote/USD/percent_change_24h,quote/USD/percent_change_7d,quote/USD/percent_change_30d,quote/USD/percent_change_60d,quote/USD/percent_change_90d,quote/USD/market_cap,quote/USD/market_cap_dominance,quote/USD/fully_diluted_market_cap,quote/USD/tvl,quote/USD/last_updated,tags/28,tags/29,platform/id,platform/name,platform/symbol,platform/slug,platform/token_address
1518,Maker,MKR,maker,264,2017-01-29T00:00:00.000Z,store-of-value,defi,dao,polychain-capital-portfolio,governance,lending-borowing,dragonfly-capital-portfolio,electric-capital-portfolio,a16z-portfolio,1confirmation-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,paradigm-portfolio,near-protocol-ecosystem,spartan-group,bnb-chain,,,,,,,,,,,,,1005577,977631.03695089,977631.03695089,,50,,,0.12013784,2022-08-04T20:15:00.000Z,1048.9010966950432,117063938.78489542,-42.4324,-0.34032281,-1.77362607,-5.78461796,9.74305369,-11.30364652,-21.96876483,1025438266.8209008,0.097,1054750818.11,8535514126.52189,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
2087,KuCoin Token,KCS,kucoin-token,39,2017-10-24T00:00:00.000Z,marketplace,centralized-exchange,discount-token,algorand-ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,170118638,98379860.95,145879861,,51,,,,2022-08-04T20:15:00.000Z,9.972437944848263,3517184.99128505,59.2988,-0.28860953,-0.90165839,-3.99279001,14.2071314,-39.83748821,-41.37716086,981087058.3466759,0.0928,1696497560.72,,2022-08-04T20:15:00.000Z,,,,,,,
1437,Zcash,ZEC,zcash,260,2016-10-29T00:00:00.000Z,mineable,pow,equihash,medium-of-exchange,privacy,zero-knowledge-proofs,binance-chain,boostvc-portfolio,dcg-portfolio,electric-capital-portfolio,fenbushi-capital-portfolio,hashkey-capital-portfolio,winklevoss-capital-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,bnb-chain,,,,,,,,,,,,,21000000,14970556.25,14970556.25,,52,,,,2022-08-04T20:15:00.000Z,64.28819908716274,72042886.7424205,1.5931,-0.18297391,1.32014441,-0.13680198,10.16521772,-28.55047928,-47.88203111,962430100.6455684,0.091,1350052180.83,,2022-08-04T20:15:00.000Z,,,,,,,
3330,Pax Dollar,USDP,paxos-standard,66,2018-09-27T00:00:00.000Z,store-of-value,stablecoin,asset-backed-stablecoin,bnb-chain,usd-stablecoin,,,,,,,,,,,,,,,,,,,,,,,,,945642940.11,945642940.11,,53,,,,2022-08-04T20:15:00.000Z,1.0004475146258325,3674711.89456787,-6.7398,0.00331325,0.12908047,-0.03199525,-0.16253484,-0.17278326,-0.24983581,946066129.1565145,0.0895,946066129.16,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x8e870d67f660d95d5be530380d0ec0bd388289e1
3513,Fantom,FTM,fantom,348,2018-10-29T00:00:00.000Z,platform,enterprise-solutions,defi,research,scaling,smart-contracts,fantom-ecosystem,injective-ecosystem,bnb-chain,,,,,,,,,,,,,,,,,,,,3175000000,2545006273,2545006273,,54,,,,2022-08-04T20:15:00.000Z,0.3577519249149507,406890725.0843876,63.4371,-0.68229678,4.42954393,5.87499326,36.21510238,-0.15511176,-50.6209003,910480893.0863746,0.0861,1135862361.6,,2022-08-04T20:15:00.000Z,,,,,,,
1720,IOTA,MIOTA,iota,80,2017-06-13T00:00:00.000Z,dag,medium-of-exchange,iot,sharing-economy,bnb-chain,,,,,,,,,,,,,,,,,,,,,,,,2779530283,2779530283,2779530283,,55,,,,2022-08-04T20:15:00.000Z,0.32620260482828084,13908398.6237782,11.2654,-0.1418845,-0.90578186,2.79662887,18.75980946,-7.42484143,-33.80625771,906690018.5136886,0.0858,906690018.51,,2022-08-04T20:15:00.000Z,,,,,,,
16086,BitTorrent-New,BTT,bittorrent-new,77,2019-01-31T00:00:00.000Z,platform,distributed-computing,filesharing,interoperability,staking,tron-ecosystem,storage,binance-launchpad,binance-labs-portfolio,web3,bnb-chain,,,,,,,,,,,,,,,,,,,937418500000000,990000000000000,,56,,,,2022-08-04T20:15:00.000Z,9.546371036784988e-7,36172624.69286263,-19.7825,0.05680129,-2.18295272,-0.0796858,8.93736608,-12.30514223,-42.3135491,894894481.7746428,0.0846,945090732.64,,2022-08-04T20:15:00.000Z,,,1958,TRON,TRX,tron,TAFjULxiVgT4qWk6UZwjqwZXTSaGaqnVp4
4066,Chiliz,CHZ,chiliz,257,2019-07-01T00:00:00.000Z,sports,collectibles-nfts,content-creation,payments,,,,,,,,,,,,,,,,,,,,,,,,,8888888888,6000387492.749921,8888888888,,57,,,,2022-08-04T20:15:00.000Z,0.14371389514984972,246285877.10883573,49.4259,-0.64211064,3.84538021,19.94871583,42.53511402,13.48583832,-17.1008365,862339058.9915318,0.0816,1277456845.65,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x3506424f91fd33084466f402d5d97f05f8e3b4af
4256,Klaytn,KLAY,klaytn,116,2020-03-30T00:00:00.000Z,platform,enterprise-solutions,injective-ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,,,2964410027.4,10782297980.8,,58,,,,2022-08-04T20:15:00.000Z,0.2906554083056272,73372969.48832165,-3.6907,-0.0005035,-0.31403212,7.87218832,23.23128776,-27.81457108,-56.67026417,861621806.8992425,0.0815,3133933222.08,,2022-08-04T20:15:00.000Z,,,,,,,
4157,THORChain,RUNE,thorchain,98,2019-07-23T00:00:00.000Z,cosmos-ecosystem,decentralized-exchange,defi,multicoin-capital-portfolio,exnetwork-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,500000000,330688061.33445597,334937974.91478544,,59,308031945,793143881.5895351,5.23654636,2022-08-04T20:15:00.000Z,2.5748754129690514,130112617.72875072,-0.5384,-0.53596894,-6.33830469,-10.26493371,18.68118822,-10.95244018,-59.46749949,851480558.4924923,0.0806,1287437706.48,162603460.34721,2022-08-04T20:15:00.000Z,,,1839,BNB,BNB,bnb,RUNE-B1A
